1,1260,1360,1460,1560,1660,1500
1,0,0,0,0,0,1
97,80,90,90,100,110,97
13.1,10,10,10,10,10,13
992,830,900,960,1030,1100,992
34,30,30,30,40,40,34
1500,1260,1360,1460,1560,1660,1500
2300,1930,1950,1970,1980,2000,2300
2.84,0,0,0,0,0,2
3.143,0,0,0,0,0,3
107,90,100,100,110,120,107
13.4,10,10,10,10,10,13
577,480,520,560,600,640,577
60,50,50,60,60,70,60
1650,1390,1500,1610,1710,1820,1650
3600,3020,2770,2510,2260,2000,3600
2.59,0,0,0,0,0,2
3.156,0,0,0,0,0,3
90,80,80,90,90,100,90
12.7,10,10,10,10,10,12
802,670,730,780,830,890,802
28,20,30,30,30,30,28
1530,1290,1390,1490,1590,1690,1530
2700,2270,2200,2130,2070,2000,2700
2.63,0,0,0,0,0,2
3.787,0,0,0,0,0,3
127,110,120,120,130,140,127
14.4,10,10,10,10,20,14
1070,900,970,1040,1110,1180,1070
60,50,50,60,60,70,60
1540,1290,1400,1500,1600,1700,1540
7700,6470,5350,4230,3120,2000,7700
3.13,0,0,0,0,0,3
2.699,0,0,0,0,0,2
102,90,90,100,110,110,102
13.7,10,10,10,10,20,13
560,470,510,540,580,620,560
100,80,90,100,100,110,100
1640,1380,1490,1600,1700,1810,1640
2900,2440,2330,2220,2110,2000,2900
3.06,0,0,0,0,0,3
3.1810,0,0,0,0,0,3
120,100,110,120,120,130,120
14.0,10,10,10,10,20,14
712,600,650,690,740,790,712
320,270,290,310,330,350,320
1620,1360,1470,1580,1680,1790,1620
6800,5710,4780,3860,2930,2000,6800
2.76,0,0,0,0,0,2
4.4312,0,0,0,0,0,4
77,60,70,70,80,90,77
12.5,10,10,10,10,10,12
130,110,120,130,140,140,130
1.5,0,0,0,0,0,1
1980,1660,1750,1830,1920,2000,1980
1100,920,1000,1070,1140,1220,1100
2.31,0,0,0,0,0,2
3.0014,0,0,0,0,0,3
99,80,90,100,100,110,99
13.4,10,10,10,10,10,13
394,330,360,380,410,440,394
140,120,130,140,150,150,140
1720,1440,1560,1670,1790,1900,1720
2300,1930,1950,1970,1980,2000,2300
2.57,0,0,0,0,0,2
4.0015,0,0,0,0,0,4
111,90,100,110,120,120,111
14.2,10,10,10,10,20,14
445,370,400,430,460,490,445
96,80,90,90,100,110,96
1720,1440,1560,1670,1790,1900,1720
2200,1850,1890,1920,1960,2000,2200
2.39,0,0,0,0,0,2
4.4316,0,0,0,0,0,4
102,90,90,100,110,110,102
12.9,10,10,10,10,10,12
200,170,180,190,210,220,200
19,20,20,20,20,20,19
1950,1640,1730,1820,1910,2000,1950
2000,1680,1760,1840,1920,2000,2000
2.27,0,0,0,0,0,2
4.4318,0,0,0,0,0,4
100,80,90,100,100,110,100
13.0,10,10,10,10,10,13
430,360,390,420,450,480,430
98,80,90,100,100,110,98
1700,1430,1540,1650,1770,1880,1700
2300,1930,1950,1970,1980,2000,2300
2.67,0,0,0,0,0,2
4.2519,0,0,0,0,0,4
108,90,100,110,110,120,108
13.4,10,10,10,10,10,13
613,510,560,600,640,680,613
81,70,70,80,80,90,81
1630,1370,1480,1590,1690,1800,1630
2400,2020,2010,2010,2000,2000,2400
2.51,0,0,0,0,0,2
4.0021,0,0,0,0,0,4
94,80,90,90,100,100,94
13.0,10,10,10,10,10,13
169,140,150,160,180,190,169
18,20,20,20,20,20,18
1970,1650,1740,1830,1910,2000,1970
1900,1600,1700,1800,1900,2000,1900
2.15,0,0,0,0,0,2
4.3022,0,0,0,0,0,4
107,90,100,100,110,120,107
13.2,10,10,10,10,10,13
810,680,730,790,840,900,810
350,290,320,340,360,390,350
1560,1310,1410,1520,1620,1720,1560
5000,4200,3650,3100,2550,2000,5000
2.88,0,0,0,0,0,2
4.0024,0,0,0,0,0,4
98,80,90,100,100,110,98
13.2,10,10,10,10,10,13
302,250,270,290,310,330,302
12,10,10,10,10,10,12
1790,1500,1620,1740,1860,1980,1790
1900,1600,1700,1800,1900,2000,1900
2.57,0,0,0,0,0,2
3.8925,0,0,0,0,0,3
107,90,100,100,110,120,107
13.1,10,10,10,10,10,13
618,520,560,600,640,680,618
320,270,290,310,330,350,320
1630,1370,1480,1590,1690,1800,1630
1600,1340,1450,1560,1660,1770,1600
2.66,0,0,0,0,0,2
4.4026,0,0,0,0,0,4
103,90,90,100,110,110,103
13.5,10,10,10,10,10,13
225,190,200,220,230,250,225
10,10,10,10,10,10,10
1900,1600,1700,1800,1900,2000,1900
3600,3020,2770,2510,2260,2000,3600
2.37,0,0,0,0,0,2
4.5027,0,0,0,0,0,4
101,80,90,100,100,110,101
13.4,10,10,10,10,10,13
151,130,140,150,160,170,151
14,10,10,10,10,20,14
1860,1560,1670,1780,1890,2000,1860
3000,2520,2390,2260,2130,2000,3000
2.21,0,0,0,0,0,2
3.9228,0,0,0,0,0,3
122,100,110,120,130,130,122
14.1,10,10,10,10,20,14
469,390,430,460,490,520,469
39,30,40,40,40,40,39
1720,1440,1560,1670,1790,1900,1720
2100,1760,1820,1880,1940,2000,2100
2.49,0,0,0,0,0,2
4.3829,0,0,0,0,0,4
97,80,90,90,100,110,97
13.2,10,10,10,10,10,13
384,320,350,370,400,420,384
40,30,40,40,40,40,40
1720,1440,1560,1670,1790,1900,1720
1900,1600,1700,1800,1900,2000,1900
